EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR168353,,,,,IIIIIIIIIIIIIIII,Tally marks,16,,,,,,,,,,,,,,
EDR168354,4047,,,,"Cigrotvii
ab h[--]r
M Volu
mii",,"(Text of uncertain meaning)
by (???)
(of?) M(arcus) Volu(mnius?)
",,,,,,,,,,,,,,
EDR168356,4048,,,,[---]r Feliculae S(alutem),Greeting,(?)r (says) greetings to Felicula,,,,,,,,,,,,,,
EDR163892,4049,,,,Rufini Cubiculum S,Graffito mentioning Rufinius,(This is) the bedroom of Rufinius,,,,,,,,,,,,,,
EDR168479,4050,,,,Hic iudices,Graffito mentioning judges,(The) judges (were) here,,,,,,,,,,,,,,
EDR168480,4051,,,,"Ti Comnis
Olithus
Rectus",Graffito mentioning a name,Ti(tus) Comnis Olithus Rectus,,,,,,,,,,,,,,
EDR168481,4052,,,,"VI K(alendas) Fe(lix)
VII S I C I I I ",Graffito mentioning a date,"Six days before the Kalends Fe(lix?)
7 thus(?) 4(?)",,,,,,,,,,,,,,
EDR168483,4053,,,,S(exto) Burrenio s(alutem),Greeting,Greetings to Sextus Burenius,,,,,,,,,,,,,,
EDR163893,4054,,,,"Rru
Rru",,Text of uncertain meaning,,,,,,,,,,,,,,
EDR163894,4055,,,,"Quorumc
Primuis",,,,,,,,,,,,,,,,
EDR163895,4056,,,,,,,,,,,,,,,,,,,,
EDR163896,4057,,,,,,,,,,,,,,,,,,,,
EDR163897,4058,,,,,,,,,,,,,,,,,,,,
EDR163898,4059,,,,,,,,,,,,,,,,,,,,
EDR163899,4060,,,,,,,,,,,,,,,,,,,,
EDR163529,4061,,,,,,,,,,,,,,,,,,,,
EDR163530,4062,,,,,,,,,,,,,,,,,,,,
EDR163595,4063,,,,,,,,,,,,,,,,,,,,
EDR163597,4064,,,,,,,,,,,,,,,,,,,,
EDR163598,4065,,,,,,,,,,,,,,,,,,,,
EDR163599,4066,,,,DAPHNICVS CVM FELIC(V)LA SVA HIC,Signature,Daphnicus with his Felicula (was) here,,,,,,,,,,,,,,
EDR163600,4067,,,,(?)IVSI CVM FRONTO(?),Signature,? with Fronto,,,,,,,,,,,,,,
EDR163601,4068,,,,N???????FRONTO,Signature,??? Fronto,,,,,,,,,,,,,,
EDR163602,4069,,,,"AMPLIATVS
MARTIALIS
IANVARIVS
ONESIMUS
IVSTVS",Names,"Ampliatus
Martial
Ianuarius
Onesimus
Iustus",,,,,,,,,,,,,,
EDR163603,4070,,,,VENERANDVS,Names,Venerandus,,,,,,,,,,,,,,
EDR163604,4071,,,,"CVRIOSVS VITALIO
  S A B ",Greetings,"Vitalio is curious
 Sabinio(?)",,,,,,,,,,,,,,
EDR163605,4072,,,,IANVARIVS,Names,Ianuarius,,,,,,,,,,,,,,
EDR163606,4073,,,,"RVSTICVS
RVFINA",Names,"Rusticus
Rufina",,,,,,,,,,,,,,
EDR168484,4075,,,,I S DEQVI,,"(Series of letters, with several drawings below)",,,,,,,,,,,,,,
EDR168485,4076,,,,EVMA,,?,,,,,,,,,,,,,,
EDR168486,4077,,,,(l)ocus (t)r(u)finae,,The place of Trufina(?),,,,,,,,,,,,,,
EDR163900,5456,,,,"ABCDE
ABCDEF",Alphabet,"[letters of an alphabet; top is written, starting from the East, and bottom is written, starting from the West]",,,,,,,,,,,,,,
EDR163696,7055,,,,Mebi venio,Graffito with a name,"Mebius (?), I'm coming.",,,,,,,,,,,,,,
EDR163697,7056,,,,PARIS va(le),Greetings to Paris,,,,,,,,,,,,,,,
EDR163698,7057,,,,FYLLIS FELAT,Erotic,Fyllis (for Phyllis?) performs fellatio,,,,,,,,,,,,,,
EDR163699,7058,,,,S?IVESTRVM,Graffito with a name,Silvestrum,,,,,,,,,,,,,,
EDR176100,1778,,212,submitted,Socium,Graffito mentioning a comrade/friend?,Ally,,,,,not in Varone,,,,,litt. scariph.,8,2,,
EDR176101,3080,,,submitted,"XII-CL VIIII
XV · CIVS",Series of numbers and a name,"""12"" ""150"" ""9""
""15"" Cius",,,2,,not in Varone,,,,,litt. scariph.,8,2,,
EDR175508,4870,,705,submitted,"〈:ad sinistram〉
Q(uintus) Ptronius (:Petronius) · m(issus)
Otavs (:Octavus) 〈:pugnarum〉 XXXIIII
((:gladiator fugiens))

〈:ad dextram〉
Severus · v(icit)
lib(ertus) 〈:pugnarum〉 XXXXXV
((:gladiator qui alterum illum persequitur))",Drawing of a gladiator match,"Quintus Petronius Octavus, 34 wins - sent away (i.e. lost)
Severus, freedman, 55 wins - winner!",,,20,,,"*This has a drawing, so it will need a drawing category.",,,,,8,2,,
EDR173452,4871,,,online,v̂a(le),Greetings,goodbye,,,20,,,,,,,,8,2,,
EDR174873,4872,,,online,ΡΟΥΦΟϹ,Greek graffito,Rufus,,,20,,Let's ILL Journal of Cultural Heritage,,,,,,8,2,,
EDR174878,4873,,,online,᾽Επαφροδίτοϲ,Graffito naming Epaphroditus,Epaphroditus,,,20,,8.2.20 - not in Varone at all,,,,,,8,2,,
EDR174880,4874,,,online,Vit Vitalio · baliat (:valeat?). car (:carus?) est. Musicus,Graffito wishing Vitalio well,"May Vitalio be well. He is 
dear. Musicus.",,,20,,,,,,,,8,2,,
EDR175116,4875,,,online,,,,,,20,,,,,,,,8,2,,
EDR174883,4876,,,online,"Regulo feliciter · quia · verpa est ((:phallus))
Reg
Regu",Greetings to Regulus (and insult?),Good luck to Regulus since he is a prick!,,,20,,,"*This has a drawing, so it will need a drawing category.",,,,,8,2,,
EDR159685,4877,a,,already online,Cont,Beginning of a poem?,They were silent (conticuere?),,,,,,,,,,,,,,
EDR159686,4877,b,,already online,Cont,Beginning of a poem?,They were silent (conticuere?),,,20,,,,,,,,8,2,,
EDR175118,4878,,,online,ab,Preposition,from,,,20,,,,,,,,8,2,,
EDR175144,4879,,,online,"Castor
((:equus))",Graffito naming Castor (person or god?),Castor,,,20,,,"*This has a drawing, so it will need a drawing category.",,,,,8,2,,
EDR175145,4880,,,online,venimus,Beginning of a poem,We came...,,,20,,,,,,,,8,2,,
EDR175146,4881,,,online,((denarius)) I a(sses) X,Graffito mentioning money,"1 denarius, 10 asses (i.e. an amount of money)",,,20,,,,,,,,8,2,,
EDR175147,4882,a,,online,Luca (:Lucanica),Mention of food,Lucanian (sausage),,,,,,,,,,,,,,
EDR 175148,4882,b,,online,Lucanica,Mention of food,Lucanian (sausage),,,20,,,,,,,,8,2,,
EDR175159,4883,,,online,"XNAXIIIDIIII
DII LX",Series of letters,(Incomprehensible series of letters),,,20,,,,,,,,8,2,,
EDR175161,,,,submitted,Fora,Graffito mentioning part of the city,Forums,,,23,,*N.B. Look at CIL for earlier publication,,correct location is 20,,,carbone,8,2,,
EDR175165,10209,,,submitted,C(aius) Concessu[s],Graffito mentioning a name or permission (?),"Gaius Concessus or ""having been permitted""",,,23,,*N.B. Look at CIL for earlier publication,,correct location is 20,,,litt. Scariph.,8,2,,
EDR175166,10210,,,submitted,Crescens,Graffito naming Crescens,Crescens,,,23,,"A. Varone, Titulorum graphio exaratorum qui in C.I.L. Vol. IV collecti sunt imagines, Roma 2012, vol. II, p. 397, con foto (#)
",,,,,litt. Scariph.,8,2,,
EDR175167,10211,,,submitted,Augutus (:Augustus),Graffito naming the emperor,Augu(s)tus,,,23,,*N.B. Look at CIL for earlier publication,,,,,litt. Scariph.,8,2,,
EDR175189,4884,,,submitted,"[---]r
[---]s bellissimu (:bellissimum)
[fu]tuerunt",Erotic graffito,They screwed most beautifully,,,24,,not in Varone,,,,,,8,2,,
EDR175600,4885,,,submitted,"((:anser spectans ad sinistram))
MULVIU MULVI",Drawing of a bird with labels,"Kite (type of bird), kite",,,26,,not in Varone,"*This has a drawing, so it will need a drawing category.",,,,,8,2,,
EDR175190,4886,,,submitted,"Glagus
Gl",Graffito mentioning a name (?),"Glagus
Gl(agus)",,,26,,not in Varone,,,,,,8,2,,
EDR175198,4887,,,submitted,"θεοδομητε Μ ΑΠΑΤΡΑ
αἰθέριαι πτέρυγεϲ δόλιου",Graffito in Greek,"(other text here...) 
celestial wings of the crafty one",,,28,,not in Varone,,,,,,8,2,,
EDR175215,4888,,,submitted,"li++
procu IV
pạṇ (:panem?) 〚II 〛II
coliclo (:cauliculum) II
be (:betam) I
sina (:sinapi) I
me+t (:mentam) I
sale I",List of food items,"fi(rewood?)
overseer (?) - 4
bread - 2, 2
cabbage - 2
beetroot - 1
mustard root - 1
mint - 1
salt - 1",,,30,,not in Varone,Cooley- Cooley,,,,,8,2,,
EDR175216,4889,,,submitted,"silig
habi (:habenam)
col (:coliculum)
bet (:betam)
men (:mentam)
coeloe(?)",List of food items,"wheat flour
HABI (?)
cabbage
beetroot
mint
(unrecognizable word)",,,30,,not in Varone,,,,,,8,2,,
EDR175237,4890,,,submitted,"Domine (:Dominae) V̅V̅ I̅I̅I̅
Domino V̅
Severo III((semis))
Domino VI VIII IIII",Graffito mentioning amounts (of money? or items?),"To the mistress (female head of the household) - 5, 5, 3
To the master - 5
To Severus - 3 1/2
 To the master - 6, 8, 4",,,30,,not in Varone,,,,,,8,2,,
EDR175238,4891,,,submitted,"Domino V VI IIII
Domino V
Severo III",Graffito mentioning amounts (of money? or items?),"To the master - 5, 6, 4
To the master - 5
To Severus - 3",,,30,,not in Varone,,,,,,8,2,,
EDR175239,4892,,,submitted,Quintus,Graffito naming Quintus,Quintus,,,30,,not in Varone,,,,,,8,2,,
EDR175240,4893,,,submitted,Ἑρμῆϲ,Graffito naming Hermes (person or god?),Hermes,,,32,,not in Varone,,,,,,8,2,,
EDR175241,4894,,,submitted,Repentinus,Graffito naming Repentinus,Repentinus,,,32,,"A. Varone, Titulorum graphio exaratorum qui in C.I.L. Vol. IV collecti sunt imagines, Roma 2012, vol. II, p. 397, con foto (#)",,,,,,8,2,,
EDR175727,4895,,,submitted,Eat t̂h,Series of characters,(Incomprehensible series of characters),,,32,x,not in Varone,,,,,,8,2,,
EDR175728,4896,,,submitted,"Idibus Apri (:Aprilis) vas a
a quo Philẹros[-] FOR",Graffito mentioning a date,"On the Ides of April (=April 13th), a vase by which Phileros...(?)",,,34,,not in Varone,,,,,carbone,8,2,,
EDR175729,4923,,,submitted,"Anaristus
Phoebo
salutem",Greetings between friends,Anaristus says hi to Phoebus,,,37,,not in Varone,,,,,,8,2,,
EDR176439,9305,a,,,"A B
D",Alphabet series,A B D,,,,Need to figure out actual location,*N.B. Look at CIL for earlier publication,This is an alphabet with a strange arrangement. Will have to figure out how to describe.,,figure out location with PPM,,,8,2,Alphabetum,
EDR176440,9305,b,,,A B C D,Alphabet,ABCD,,,,Need to figure out actual location,*N.B. Look at CIL for earlier publication,,,where is this oecus with painting?,,,8,2,Alphabetum,
EDR175731,4868,,,submitted,"Viabianus.  [but this reading is uncertain] 
XIII",Graffito with name and number,"Viabianus
""13""",,,,,not in Varone,,,,,,8,2,,
EDR175732,4869,,,submitted,"Anteros
EN (:bene?) hic",Signature,Anteros (was?) here,,,,,not in Varone,,,,,,8,2,,
EDR175745,4897,,,submitted,Ἐπάγαθο̣ϲ̣,Greek graffito,Epagathus,,,36,,not in Varone,**Let's make sure this is listed as 8.2.36 on all EDR,,,,,8,2,,
? - does not seem to exist in CIL,4898,,,,,,,,,36,,not in Varone,"VIII.2.36, Casa di Caecilius Phoebus",,,,,8,2,,
EDR175749,4899,,,submitted,Epaphra,Graffito naming Epaphra,Epaphra,,,36,,not in Varone,,,,,,8,2,,
EDR175753,4900,,,,Eulymeṇ,Graffito naming Eulymenus,Eulymen(us),,,36,,not in Varone,,,,,,8,2,,
EDR175754,4901,,,submitted,"ἡ κλεῖϲ τῆϲ ἄρκλαϲ
ἡ 〈:vacat〉 οἱ",Greek graffito mentioning household items,"The key of the small box
the (fem. sing.)       /         the (masc. pl.)",,,36,,not in Varone,,,,,,8,2,,
EDR175755,4902,,,submitted,Mario 〈:vacat〉Mario,Graffito naming Marius,For Marius. For Marius,,,36,,not in Varone,,,,,,8,2,,
EDR175756,4903,,,submitted,Eulymenus,Graffito naming Eulymenus,Eulymenus,,,36,,not in Varone,,,,,,8,2,,
EDR175757,4904,,,submitted,Euplus Euplus,Graffito naming Euplus,"Euplus, Euplus",,,36,,not in Varone,,,,,,8,2,,
EDR175758,4905,,,submitted,"Rhenus
Rhinus (:Rhenus)",Name of person (or river?),"Rhine
Rhine",,,36,,not in Varone,,,,,,8,2,,
EDR175759,4906,,,submitted,"Datu (:Datur?)
TYRANOPANEUM/",Statement about food (?),(Bread fit for a king?) is being given,,,36,,not in Varone,,,,,,8,2,,
EDR175769,4907,,,submitted,"Hormus
Ho
Hormus",Graffito naming Hormus,"Hormus
Ho(rmus)
Hormus",,,36,,not in Varone,,,,,,8,2,,
EDR175770,4908,,,submitted,Μελίβοιοϲ,Graffito naming Meliboeus,Meliboeus,,,36,,not in Varone,,,,,,8,2,,
EDR175771,4909,,,submitted,Phrastes,Graffito with uncommon name,Phrastes,,,36,,not in Varone,,,,,,8,2,,
EDR175772,4910,,,submitted,MCIIRVLIIVS sit,Wish (?),May Marcus be sky blue (??),,,36,,not in Varone,,,,,,8,2,,
EDR175773,4911,,,submitted,CC CI CDIC++,Series of characters,(Numerals or scribbles?),,,36,,not in Varone,,,,,,8,2,,
EDR175774,4912,,,submitted,<:litterae scriptae sunt retroversae> C·D·O·E·C·AIO,Letters written backwards,(Series of letters written backwards),,,36,,not in Varone,,,,,,8,2,,
EDR175775,4913,,,submitted,cela,Warning (?),Hide!,,,36,,not in Varone,,,,,,8,2,,
EDR175776,4914,,,submitted,XX Heraclae,Graffito with name and number,20 for Heracla,,,36,,not in Varone,,,,,,8,2,,
EDR175777,4915,,,submitted,"V Idus · NOVII (:Nove(mbris))
Vestia",Graffito mentioning a date,"Five days before the Ides of November (=Nov. 9th)
Vestia",,,36,,not in Varone,,,,,,8,2,,
EDR175790,4916,,,submitted,"C · Mateius
Abas (:Abascantus?)",Graffito naming Mateius,Gaius Mateius Abas(cantus?),,,36,,not in Varone,,,,,,8,2,,
EDR175791,4917,,,submitted,Albanus cinaedus est,Insult,Albanus is a pervert,,,36,,not in Varone,,,,,,8,2,,
EDR175792,4918,,,submitted,Reṣ (letters mixed up - REBVS?),Word game (?),Things,,,36,,not in Varone,,,,,,8,2,,
EDR175793,4919,,,submitted,"ελαβ (:ἔλαβες)
παρεχρηϲοϲ (:παρέχρησας)
απηνονκεϲ (:ἀπήνεγκες)
ΕΔΡΕϹ",Greek graffito,"You took
you misused (?)
you brought back
EDRES",,,36,,not in Varone,,,,,,8,2,,
EDR175795,4920,,,submitted,ANA ((:caput hominis)),Drawing of a head (labeled with initials?),ANA,,,36,,not in Varone,,,,,,8,2,,
EDR175796,4921,,,submitted,Receptus,Graffito naming Receptus,Receptus,,,36,,not in Varone,,,,,,8,2,,
EDR175797,4922,,,submitted,"II[---]
III MALLI[---]
CATAN[---]
F̣OR[---]",List of names or items,(Uncertain words),,,36,,not in Varone,,,,,carbone,8,2,,
EDR175798,4942,,,submitted,Ἀβήϲτιοϲ,Greek graffito,Abestios,,,4,,not in Varone,,*I've moved 8.4 to the end of the spreadsheet. Let's come back to it.,,,,8,6,,
EDR175810,4943,,,submitted,MSNỊṢ,Series of letters,(Incomprehensible series of letters),,,4,,"A. Varone, Titulorum graphio exaratorum qui in C.I.L. Vol. IV collecti sunt imagines, Roma 2012, vol. II, p. 398, con foto (#)---","Varone says: ""Lectio est minime certa""",,,,,8,6,,
EDR175851,4944,,,submitted,"Communis
Clọ[d]ịa sua
dom (:domina)",Graffito mentioning two people,"Communis (and?) Clodia, his mistress (girlfriend or owner)",,,4,,not in Varone,,,,,,8,6,,
EDR175853,4945,,,submitted,"Commu=
nis",Graffito naming Communis,Communis,,,4,,not in Varone,,,,,,8,6,,
EDR175854,4946,,,submitted,Φηλεικίων μο α´ αϲ γ´,Greek graffito,"Felicio, one bushel, 3 asses ",,,4,,not in Varone,,,,,,8,6,,
EDR175855,4947,,,submitted,MHNOϹ,Greek graffito,less (?),,,4,,not in Varone,,,,,,8,6,,
EDR175856,4948,,,submitted,Cera,Graffito about a product,Wax,,,4,,not in Varone,,,,,,8,6,,
EDR175857,4949,,,submitted,"Λατογένεια Ἑκάτα (:Ἑκάτη, Hecate)",Epithet of a god,"Hecate, born of Leto",,,4,,not in Varone,,,,,,8,6,,
EDR175859,4950,,,submitted,"((:Palma est posita inter verba et omnia scuto cum hastis inclusa sunt))
ΒΑΧΧΙS (:Bacchis) ΔΟΜΝΑ (:domina)",Drawing with text,Bacchis (is) in charge,,,4,,not in Varone,,,,,,8,6,,
EDR175860,4952,,,submitted,Cum quidam paup (:pauper),Beginning of a poem,When a certain poor man...,,,5,,,,,,,,8,6,,
EDR175861,4953,,,submitted,Fortunate,Graffito naming Fortunatus,"Oh, Fortunatus!",,,5,x,,,,,,,8,6,,
EDR175862,4954,,,submitted,"Fortuna=
te linge
culu (:culum)",Insult,"Fortunatus, lick butt",,,5,x,,,,,,,8,6,,corrected (CIL notes as VIII.8.6 [=VIII.7.6])
EDR175870,4955,,,submitted,Μελίβοιοϲ [-]κ̣α[κ]οϲ,Insult,Meliboeus (is) bad,,,5,x,,,,,,,8,6,,
EDR175871,4956,,,submitted,"M
TB. -- these letters are actually above and below the preceding graffito",Series of letters,M  TB,,,5,x,,,,,,,8,6,,
EDR175872,4957,,705,submitted,"Miximus in lecto. Fateor, peccavimuṣ,
hospes. Si dices, 'quare?' Nulla matella fuit.",Humorous comment,"We peed in the bed. I admit it, we did wrong, host.
If you were to ask, ""Why?"" There was no chamber pot.",,,6,x,"add to bibliography Kruschwitz, Patterns of text layout in Pompeian verse inscriptions",,,,,,8,6,,
EDR175874,5488,,,submitted,ABCIIQXV,Alphabet series,ABCEQXV,,,6,,,,Alphabet,,,,8,7,alphabetum,
EDR175875,4958,,,submitted,Iucundus,Graffito naming Iucundus,Iucundus,,,6,,,,,,,,8,7,,
EDR175876,4959,,,submitted,Magius,Graffito naming Magius,Magius,,,6,,,,,,,,8,7,,
EDR175877,4960,,,submitted,Gallus,Graffito naming Gallus,Gallus,,,6,,,,,,,,8,7,,
EDR175878,2994,,,submitted,"[---]
Aniceṭus
scripsit ISTMUS (:Isthmus)
[---]",Graffito naming Anicetus ,"Anicetus
Isthmus wrote (this)",,,21,,Large Theater; not in Varone,,,,,carbone,8,7,,
EDR175882,2132,,,submitted,"DC · NIOIVIDII
MAVINIM̂I · SYḤ+CVṢ",Series of letters,(Incomprehensible series of letters),,,28,"X, R of",not in Varone,,,,,litt. scariph.,8,7,,
EDR175883,2133,,,submitted,"T 〈:vacat〉 U formosus TUNCAS
CARIS (:Paris?) · ISSF (:isse?) [---] TIII'TF_NTRIQ (:Septentrio?)
〈:vacat〉 N [---] ICI [---] IAAIS (:Paris?) issus
Postima
Caius",Graffito naming Paris (and others),"(damage here...) handsome (tun(i)cs? or other text?)... 
Paris himself (other letters here...) Septentrio(?) 
(damage and other letters here) ...Paris(?) himself
Postima
Gaius",,,28,"X, L of",not in Varone,,,,,litt. scariph.,8,7,,
EDR175884,2134,,,submitted,"Iusto feliciter et
〈:vacat〉 Vetito et MMUNI[---]
〈:vacat〉 XIII K (:Kalendas) Decεmm (:Decembris) [---]
LICARIO filio 〈:vacat〉 [---] εAUG
〈:vacat〉 CATETUM++
〈:vacat〉 I·CNIAS",Greetings and a date ,"Good luck to Iustus and
forbidden and (incomprehensible series of letters)
13 days before the Kalends of December (=Nov. 18th)
for Licarius, the son (incomprehensible series of letters)
(incromprehensible series of letters)
(incomprehensible series of letters)
",,,29,"X, L of(?)",not in Varone,check on this location,,,,litt. scariph.,8,7,,
EDR175925,4974,,,submitted,LiḅerạlisII,Graffito naming Liberalis,Liberalis - two,,,30,,Doric Temple; not in Varone,,,,,,8,7,,
EDR175926,2465,,,submitted,TA++++++ONSIII,Series of letters,(Incomprehensible series of letters),,,16,,Porticus behind theaters; not in Varone,,,,,,8,7,,
EDR175927,4965,,,submitted,"Acti, va (:vale)",Greetings to Actius,"Actius, farewell",,,21,,Teatro Grande,,,,,,8,7,,
EDR175928,4964,,,submitted,L(ucius) · CORVRICON,Graffito with unusual name (?),Lucius CORVRICON (name not otherwise known),,,,probably,,,,,,,8,7,,
EDR175929,2066,,,submitted,"Multa mihi curâe cum +esserit (:presserit?) artus
has ego mancinas stagna refusa dabo",Poem?,"When the weight of concern weighs down my limbs
I use this left hand to let the deep waters overflow",,,4,,nothing in 8.4 in Varone,,,,,litt. scariph.,8,4,,
EDR175930,2067,,,submitted,"MAXIS
〈:vacat〉
Ṃ
MAXI
MAXIS
<:proxima stria> MAXIS",Graffito with repetition of a word,"MAXIS (?)
M
MAXI
MAXIS
MAXIS",,,4,,Casa dei Postumii/Casa di Olconio,,,,,litt. scariph.,8,4,,
EDR175931,2068,,,submitted,<:textus in quattuor versibus non legitur>,Series of characters,(Incomprehensible series of letters),,,4,,textus non legitur?,**come back to upload CIL line-drawing for this one!,,,,litt. scariph.,8,4,,
EDR175932,2069,,465,submitted,"Moram si quaeres,
sparge miliu (:milium) et col
=lige",Universal truth,"If you want to waste time, scatter millet and pick it up",,,4,,,,,,,litt. scariph.,8,4,,
EDR175933,2070,,,submitted,"IIX · Id (:Idibus) Iulias axungia (:axungiam) p (:pondo) · CC
aliu (:alium) · manuplos (:manipulos) CCL",Statement about a transaction,Eight days before the Ides of July (=July 8th):  200 pounds of grease (lard?) and 250 bunches of garlic (?),,,4,,,,,,,litt. scariph.,8,4,,
EDR175942,2071,,,submitted,"Sodales, avete",Greeting to friends,"Friends, hello!",,,4,,,,,,,litt. scariph.,8,4,,
EDR175943,2072,,,submitted,Genicius,Graffito naming Genicius,Genicius,,,7,,,,,,,litt. scariph.,8,4,,
EDR175944,2072,a,,submitted,VIIIIÍIII,Tally marks,"""13""",,,7,,,,,,,litt. scariph.,8,4,,
EDR175945,2072,"a, nota",,submitted,IIIIIIIIII,Tally marks,"""10""",,,7,,Fiorelli says compass-drawn circle at 8.4.7 (p. 94) - cerchio descritto col compasso,,,,,,8,4,,
EDR175960,2073,,,submitted,EREN,Part of a name (?),(The letters) EREN,,,8,,,,,,,litt. scariph.,8,4,,
EDR175961,2074,1-4,215,submitted,"XXXIIIIIIIIIIIIIII
III

<:pone hanc>
XXXXXIII
[--]IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII

<:inferius>
IIÍIIIIIIIIÍÍIIIIIIIIIIII <:vacat>IIIIIII

<:infra hanc>
XX XXXX̣
IIIIIIIIIIII",Tally marks,"""45""
""3""

""53""
""36""

""25""  ""7""

""20"" ""40""
""12""
",,,12,,,,,,,litt. scariph.,8,4,,
EDR175962,2074,nota,,submitted,"IIIIIIIIIIIIIIIIIIIIIIIII

<:pone hanc?>
IIIIIIIIIIIIIIIIIIIIIII

<:infra?>
IIIIIIIIIIIIIIIIIIIIIIIIIIIII",Tally marks,"""25""

""23""

""29""",,,,,,,,,,,,,,
EDR175963,2074,a,,submitted,ÍIIÍIIIIIIÍIIIIIIÍÍÍ,Tally marks,"""20""",,,15,,,,,,,litt. scariph.,8,4,,
EDR175946,2063,,,submitted,"VIII · S =-    
VIII · ((semis)) ((quadrans))",Graffito mentioning money,"8 3/4 asses (?) = 8 asses, 1/2 as (semis), 1/4 as (quadrans)",,,43499,x,,,,,,litt. scariph.,8,4,,
EDR175964,2065,,,submitted,Romanus,Graffito naming Romanus,Romanus,,,43499,x,,,,,,litt. scariph.,8,4,,
EDR149161,4928,,,prob needs updating,nox,Reference to time,night,,,2,,not in Varone,,,,,,8,5,,
EDR149163,4930,,,prob needs updating,Crescens,Graffito naming Crescens,Crescens,,,9,,not in Varone,,,,,,8,5,,
EDR159564,4951,,,prob needs updating,Ursi me comiḅ,Beginning of a saying,May the bears (consume) me,,,5,x,8.6.5 not in Varone,,,,,,8,6,,
EDR175965,728,,196,submitted,"Primi
=g̣en
=us (:Primigenius)

<:infra>
((:navis))

<:infra>
((:gladiator cum scuto longo, galea, et gladio))",Drawing of a gladiator and boat,Primigenius,,,4,,,,,7,,dipinta,8,4,w/drawing of gladiator labelled; dipinta just within fauces! (L wall),
EDR175966,676,,196,submitted,Ẹutychus,Graffito naming Eutychus,Eutychus,,,13,,not in Varone,,,dipinta/perhaps graffito,,,8,2,,
EDR175967,733,,,submitted,"<:ad dextram>
Ὁ τοῦ Διὸϲ
παῖϲ καλλί
=νεικοϲ (:καλλίνικοϲ) Ἡρακλῆϲ

<:ad sinistram>
C̣[---]ΑΔΑΙ (:ἐνθάδε)
κατοικεῖ
μηδὲν εἰ
=σειάτω (:εἰσίτω)
κακόμ (:κακόν)",Painted message of protection,"Heracles, the triumphant son of Zeus, lives here. May no evil enter. ",,,7,,,,,now in Naples museo,,dipinta,8,4,"poetry? May no evil enter; painted notice in taberna - large letters; shop not in PPM, excav quickly and not covered but painted inscr in Varone-Stefani",
EDR176044,788,a,,submitted,"VCCXCII <:vacat> CXXCIVI
V · CCXC
V · CCCXIII · V · CCVXI
<:vacat> CC · LXXIIX <:vacat> CCLXX",Tally marks,"V ""210, 102""   ""120, 101, 6""
V ""290""
V ""313""  V ""205, 9""
""200"" ""78""  ""270""",,,,,,,,,,carbone,8,4,,
EDR176045,788,b,,submitted,"MI VII · IV · VII · VIII
X · V · X · VII · VI · XI · V
VII [---] III · VII · VI · IX · IIX · VIIM",Tally marks,"""1001"" (Or) M ""1"" ""7"" ""4"" ""7"" ""8""
""10"" ""5"" ""10"" ""7"" ""6"" ""11"" ""5 ""
""7"" ""3"" ""7"" ""6"" ""9"" ""7"" M",,,37,,,,,,,carbone,8,4,"diff to determine outside or inside, 37 or 36",
EDR161742,2414,,,North,,Greetings to Sava,"I am hurrying. Farewell, my sweetie(?). See to it that you love me.",,,,,,,,,,,,,,
EDR161769,2415,,,North,,Graffito mentioning the men of the third legion,"The men of the third legion were here. (...incomprehensible series of letters...) Farewell, prick!",,,,,,,,,,,,,,
EDR161789,2416,,,North,,Graffito mentioning Miccio,"Miccio-cio-cio, you broke the wallet (bag?) for your defecating father. Consider the state of Miccio!",,,,,,,,,,,,,,
EDR161910,2418,,,North,,Graffito naming Faustus,Faustus,,,,,,,,,,,,,,
EDR166494,2420,,,North,,Alphabet and end of a word,(beginning of an alphabet) (ending of a word),,,,,,,,,,,,,,
EDR161911,2419,,,North,,Graffito naming Marcus Aquis Faustus,Marcus Aquis Faustus,,,,,,,,,,,,,,
EDR166749,2423,,,North,,Graffito naming Aurelius,Aurelius,,,,,,,,,,,,,,
EDR166750,2424,,,North,,Graffito naming Antonius,Antonius,,,,,,,,,,,,,,
EDR162634,2425,,,North,,Erotic graffito,Let me bugger!,,,,,,,,,,,,,,
EDR166493,2421,,,North,,Graffito mentioning the men of the third legion and Rufa,"The men of the third legion were here. Farewell, Rufa because you suck well.",,,,,,,,,,,,,,
EDR167424,2426,,,North,,"List of names, list of Roman numerals","Of Caeclus(?) ""100""
 Sextus(?) ""100"" ""25"" ""100""
 Valerius(?) ""25"" ""25""
 Secundus(?) ""75"" ""75""
 Ammonius(?) ""50"" ""25""
 Sitio
 Scava ""60""
 Sedulatus
 Hispanus
 Iutto ""50"" ""50""",,,,,,,,,,,,,,
EDR166751,2427,,,North,,Graffito naming Felix,Felix,,,,,,,,,,,,,,
EDR167047,2427,nota (iruat),,North,,Graffito,(incomprehensible series of letters),,,,,,,,,,,,,,
EDR167545,3201,,,North,,Graffito,(…other letters here) The most handsome man,,,,,,,,,,,,,,
EDR168058,2523,,,North,,Alphabet,Beginnning of an alphabet,,,,,,,,,,,,,,
EDR167051,2433,,,North,,Series of letters and a question,"GAUDAN (a nickname?), I ask you",,,,,,,,,,,,,,
